epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
112,4026.56,0.88426,0.57946,1.07984,0.89133,0.852,0.92219,0.66371,0.96652,0.56858,1.08317,0.0217582,0.00725275,0.0217582,0.00725275,0.0217582,0.00725275,0.0217582,0.00725275
113,4063.12,0.89959,0.57939,1.08327,0.89709,0.85406,0.91805,0.66502,0.96841,0.57595,1.08587,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
114,4099.61,0.89127,0.57609,1.07983,0.91132,0.84687,0.92387,0.6663,0.95131,0.57506,1.07667,0.0216098,0.00720325,0.0216098,0.00720325,0.0216098,0.00720325,0.0216098,0.00720325
115,4135.61,0.87797,0.57721,1.07131,0.89276,0.8385,0.91885,0.6646,0.94108,0.57469,1.07576,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
116,4171.76,0.88439,0.59106,1.08338,0.87488,0.87256,0.92621,0.66665,0.94375,0.55844,1.07698,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375
117,4207.58,0.88094,0.57851,1.07224,0.90787,0.84995,0.9263,0.66791,0.94187,0.56451,1.0709,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
118,4243.27,0.88802,0.58702,1.08191,0.88887,0.86948,0.92454,0.66808,0.94758,0.56737,1.07134,0.0213127,0.00710425,0.0213127,0.00710425,0.0213127,0.00710425,0.0213127,0.00710425
119,4278.86,0.86536,0.57241,1.066,0.88812,0.87359,0.92554,0.67081,0.94443,0.55224,1.07029,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
120,4315.03,0.8664,0.57433,1.07041,0.91719,0.85379,0.92552,0.67382,0.93398,0.56572,1.06111,0.0211642,0.00705475,0.0211642,0.00705475,0.0211642,0.00705475,0.0211642,0.00705475
121,4350.84,0.86944,0.56367,1.06869,0.914,0.85199,0.92008,0.66001,0.95005,0.56429,1.07857,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
122,4386.76,0.87048,0.56768,1.07487,0.89651,0.87359,0.92522,0.67072,0.94765,0.56225,1.07987,0.0210157,0.00700525,0.0210157,0.00700525,0.0210157,0.00700525,0.0210157,0.00700525
